muestras
7
x
y
z
cut
au
ug1
ug2
193 528.6 39 0.12 0 4 10
335.1 38 97 0.13 0.028 4 10
250.7 593.4 36 0.13 0.027 4 10
275.8 517.2 86.1 0.19 0 4 10
256.1 529.1 61.8 0.19 0.039 4 10
335.1 38 109 0.19 0.013 4 10
250.7 593.4 24 0.19 0.026 4 10
394.9 218.3 133.2 0.21 0.022 4 10
250.7 593.4 48 0.22 0.026 4 10
335.1 38 85 0.22 0.149 4 10
275.8 517.2 98.1 0.24 0 4 10
370.8 473.3 120.1 0.24 0.047 4 10
273.6 495 108 0.24 0 4 10
144 584.4 52.2 0.24 0.019 4 10
204.9 527.6 11.2 0.25 0.061 4 10
375.6 352.2 72.2 0.25 0.015 4 10
257 503.4 34 0.26 0.028 4 10
362.5 61.2 89.3 0.26 0.033 4 10
250.7 593.4 12 0.26 0.027 4 10
218.3 592.5 24.1 0.27 0.375 4 10
335.1 38 121 0.27 0.271 4 10
213.4 527.8 19.6 0.28 0.085 4 10
250.9 470.3 74.3 0.28 0 4 10
360.5 535 125.5 0.28 0.035 4 10
375.6 352.2 132.2 0.28 0.089 4 10
193 528.6 72 0.28 0.142 4 10
135.9 585.2 74.8 0.29 0.04 4 10
139.9 584.8 63.5 0.29 0.101 4 10
375.6 352.2 60.2 0.29 0.027 4 10
250.2 533 108 0.29 0.003 4 10
250.7 593.4 60 0.29 0.012 4 10
247.6 528.9 53.3 0.3 0.196 4 10
375.6 352.2 120.2 0.3 0.145 4 10
307.1 443.5 114 0.3 0 4 10
257 503.4 22 0.31 0 4 10
312.5 502 34.6 0.31 0.027 4 10
139.8 593.4 54.8 0.31 0.038 4 10
283.7 550.7 132 0.31 0 4 10
309.3 500.8 131 0.31 0.023 4 10
317.8 505.6 44.7 0.31 0.081 4 10
315.9 530.9 120.8 0.31 0.085 4 10
250.2 533 120 0.32 0.026 4 10
103.2 20.4 24.6 0.32 0.026 4 10
273.2 529.7 78.6 0.33 0.071 4 10
157.1 38.7 84.2 0.33 0.329 4 10
131.8 585.6 86.1 0.33 0.15 4 10
370.8 473.3 132.1 0.33 0.134 4 10
302 470.8 125.1 0.33 0 4 10
257.8 510.7 108 0.34 0 4 10
257 503.4 46 0.34 0.041 4 10
377 352.9 123.7 0.34 0.04 4 10
275.8 517.2 122.1 0.34 0 4 10
344.5 524 95.2 0.34 0.074 4 10
193 528.6 48 0.34 3.301 4 10
157.1 14.2 108.9 0.35 0.125 4 10
275.8 517.2 110.1 0.35 0 4 10
273.1 472.9 6 0.35 0.069 4 10
333.8 516.6 75 0.35 0.083 4 10
307.3 530.7 112.3 0.35 0.155 4 10
242.4 470.2 65.9 0.35 0.063 4 10
159.3 35.9 72 0.35 0.16 4 10
257 503.4 70 0.35 0.03 4 10
193 528.6 60 0.36 0.241 4 10
335.1 38 73 0.36 0.493 4 10
257 503.4 58 0.36 0.223 4 10
335.1 38 133 0.36 0.17 4 10
244.1 472.7 84.8 0.36 0.051 4 10
