x,y,z,cut,au,ug1,ug2,Ica_1,Ica_2
190.4,263,83.1,1.33,1.17,20,30,1.9733890973,-1.9612795416
220.1,397.8,36,1.33,1.956,20,30,1.9806030819,-1.8060950708
160,158,12,1.33,0.496,20,30,1.9672030597,-2.0943512125
160,158,60,1.33,1.406,20,30,1.9755551283,-1.9146847132
100.3,458,84.1,1.33,0.361,20,30,1.9659640166,-2.1210050338
100,308,48,1.33,0.394,20,30,1.9662668938,-2.1144896552
251.2,324.1,96,1.33,3.182,20,30,1.9918554292,-1.5640388861
250.2,263.2,12,1.33,0.475,20,30,1.9670103197,-2.0984973624
190.4,173,120,1.33,2.774,20,30,1.9881107655,-1.6445926572
190.4,113,48,1.33,5.905,20,30,2.0168473884,-1.0264214383
130.4,353,120,1.33,2.301,20,30,1.9837695255,-1.7379797496
130,323,48,1.33,0.351,20,30,1.9658722356,-2.1229793909
220.4,398,95.2,1.33,2.824,20,30,1.9885696704,-1.6347208715
103.4,117.7,21.4,1.33,2.105,20,30,1.9819706184,-1.7766771495
189.8,83.3,62,1.34,3.045,20,30,2.0053548023,-1.607570882
112.7,353,73.1,1.34,0.593,20,30,1.9828501075,-2.0916832515
205.7,97.9,12.3,1.34,6.861,20,30,2.0403784218,-0.8541561994
190.4,293,124,1.34,4.312,20,30,2.0169834516,-1.357419833
190.6,143.6,96,1.34,5.372,20,30,2.0267122348,-1.1481379768
188.7,468.9,120.3,1.34,4.741,20,30,2.0209208554,-1.272719912
108.5,353,84.4,1.35,2.834,20,30,2.0181749961,-1.6657131208
116.9,353.1,61.8,1.35,1.743,20,30,2.0081616918,-1.8811154842
139.2,473.1,29.1,1.35,3.746,20,30,2.0265454209,-1.4856517501
129,231.8,112.6,1.35,0.109,20,30,1.9931646807,-2.20372544
220,248,87,1.35,15.794,20,30,2.137123138,0.8930537259
111.8,117.6,29.9,1.35,4.572,20,30,2.0341265293,-1.3225698507
280.5,337.5,107.5,1.35,5.226,20,30,2.040129005,-1.1934468941
220.4,428,71.7,1.35,1.96,20,30,2.010153339,-1.8382719343
220.4,308,108,1.35,10.221,20,30,2.0859736013,-0.2072555053
220.4,278,132,1.35,9.159,20,30,2.0762264619,-0.416932233
190.4,113,36,1.35,2.655,20,30,2.0165321166,-1.7010541135
160.7,397.4,119.3,1.36,2.055,20,30,2.0257820306,-1.8359988448
194.4,55.2,31.3,1.36,1.458,20,30,2.0203027065,-1.9538679657
226.4,232.3,7.6,1.36,6.221,20,30,2.0640179842,-1.0134816624
220.4,278,108,1.36,1.549,20,30,2.0211379133,-1.9359013158
219.9,188.4,72.8,1.36,19.815,20,30,2.1887850399,1.6704594266
160.6,187.8,132,1.36,2.636,20,30,2.0311145052,-1.7212886952
160,158,48,1.36,7.756,20,30,2.0781063637,-0.7104178422
100.4,308,120.1,1.36,0.156,20,30,2.0083528237,-2.2109292647
250.2,292.9,60,1.36,1.047,20,30,2.0165305084,-2.035014044
189.8,83.3,55.5,1.36,7.206,20,30,2.0730584101,-0.8190074846
136.6,442.7,108,1.36,4.546,20,30,2.0486446711,-1.3441864825
130.4,383,60,1.36,4.83,20,30,2.0512512508,-1.2881147399
70.4,473,132.2,1.36,0.696,20,30,2.0133089963,-2.1043139794
321.8,60,47.3,1.37,1.099,20,30,2.0317645419,-2.0412306901
190.4,55.2,20,1.37,0.762,20,30,2.028671523,-2.1077665255
280.6,368.2,132.1,1.37,0.802,20,30,2.0290386469,-2.099869097
220.4,308,120,1.37,17.034,20,30,2.1780175234,1.1049074042
160,158,24,1.37,0.244,20,30,2.0239172686,-2.2100382251
100.4,338,71.9,1.37,2.496,20,30,2.0445863439,-1.7654129983
250.4,383,83.4,1.37,6.353,20,30,2.0799862654,-1.0039034514
193,528.6,132,1.37,9.35,20,30,2.1074930232,-0.4121886182
160.4,128,78.6,1.37,6.641,20,30,2.0826295575,-0.947041966
136,472.8,132,1.38,2.647,20,30,2.0607290089,-1.7520835088
85,471.8,8,1.38,6.094,20,30,2.0923659106,-1.0715226044
130.4,413,95.6,1.38,5.695,20,30,2.0887038497,-1.1502994541
280.5,337.5,131.5,1.38,4.773,20,30,2.0802416439,-1.3323351819
160,98,36,1.38,0.483,20,30,2.0408676062,-2.1793343928
96.1,372.1,120,1.38,7.888,20,30,2.1088314172,-0.7173229345
190.4,173,60,1.38,6.656,20,30,2.0975240013,-0.9605637335
130.4,353,83.6,1.38,3.38,20,30,2.0674565543,-1.6073631308
222.7,293.2,120.9,1.38,13.23,20,30,2.1578608134,0.3373786469
214.1,293.2,112.5,1.39,24.115,20,30,2.2725211756,2.4699830849
228,128,61.1,1.39,7.279,20,30,2.1179987283,-0.8540445872
188.7,468.9,36.3,1.39,10.476,20,30,2.1473411056,-0.2228426112
220.4,338,71.1,1.39,7.459,20,30,2.1196507858,-0.8185061588
160.7,397.4,107.3,1.39,3.204,20,30,2.0805979815,-1.6585951196
100.4,158,96.3,1.39,2.13,20,30,2.070740705,-1.8706410759
370.4,233,108,1.39,32.95,20,30,2.3536096659,4.2143276135
191,323.3,71.7,1.39,6.704,20,30,2.1127213223,-0.9675701224
130.4,472.9,36.2,1.39,14.836,20,30,2.1873576101,0.6379770996
228,128,109.1,1.4,9.929,20,30,2.1570774587,-0.3473232497
142,292.8,37.2,1.4,0.653,20,30,2.0719414275,-2.1787369279
159.2,368,72.2,1.4,8.402,20,30,2.143062504,-0.6488075841
100.4,338,59.9,1.4,4.93,20,30,2.1111961499,-1.3343043813
320.9,52.9,61.3,1.4,14.649,20,30,2.2003980783,0.5845733179
293.7,351.4,79.9,1.4,5.488,20,30,2.1163175283,-1.2241352532
250.4,383,130.9,1.4,2.658,20,30,2.0903435127,-1.7828783224
137.9,292.8,48.5,1.4,1.878,20,30,2.0831845968,-1.9368781789
220.4,248,129,1.4,8.615,20,30,2.1450174387,-0.6067537772
188.7,468.9,60.3,1.41,0.429,20,30,2.084642306,-2.2394458309
160,233,48,1.41,3.205,20,30,2.1101207043,-1.6913642903
205.7,97.9,24.3,1.41,8.939,20,30,2.1627479147,-0.5592679092
160.5,82.9,72.2,1.41,5.769,20,30,2.133653346,-1.1851391209
100.4,203,96,1.41,5.776,20,30,2.1337175927,-1.1837570709
100.4,158,84.3,1.41,3.981,20,30,2.1172429079,-1.5381541766
130.5,503,120,1.41,0.443,20,30,2.0847707994,-2.2366817309
130.4,383,132,1.41,2.74,20,30,2.1058528891,-1.7831718971
160.4,38,95.4,1.41,2.644,20,30,2.1049717917,-1.8021257256
209.8,353,48.6,1.42,13.014,20,30,2.2149054338,0.22879932
188.3,111.5,39.7,1.42,4.303,20,30,2.1349550276,-1.4910631801
130.4,413,23.6,1.42,2.32,20,30,2.1167548605,-1.8825781999
63,289.5,55.7,1.42,7.825,20,30,2.1672802865,-0.7956945972
105.3,290.2,98.2,1.42,7.165,20,30,2.1612227423,-0.9260021681
160.5,218,108,1.42,1.237,20,30,2.1068149811,-2.0964010776
100.4,218,108,1.42,3.173,20,30,2.1245837776,-1.7141655363
130.4,472.9,120.2,1.42,1.687,20,30,2.1109451249,-2.0075550066
70.4,473,96.2,1.42,0.358,20,30,2.0987474335,-2.2699470698
129.7,113.9,29,1.42,3.16,20,30,2.1244644623,-1.7167322006
150.2,52,117.2,1.43,0.366,20,30,2.1135776306,-2.2848508873
220.4,308,84,1.43,8.983,20,30,2.1926652957,-0.5835473442
160,428,48,1.43,4.919,20,30,2.1553655079,-1.3859260838
155,338,84,1.43,0.214,20,30,2.1121825598,-2.3148611157
160.4,98,68,1.43,6.053,20,30,2.1657734704,-1.1620339847
190.4,173,36,1.43,8.849,20,30,2.1914354306,-0.6100037298
130.4,143,96.4,1.43,6.674,20,30,2.1714730688,-1.0394264067
182.9,469.5,6.6,1.43,2.48,20,30,2.1329801285,-1.867471789
174.1,174.2,123.6,1.43,2.915,20,30,2.1369726008,-1.7815872536
192.4,111.2,28.5,1.44,4.767,20,30,2.1687272095,-1.4324196155
220.4,278,96,1.44,3.252,20,30,2.154822392,-1.7315347214
220.8,98.1,120.2,1.44,16.357,20,30,2.275101358,0.8558603037
160.4,278,95.1,1.44,3.854,20,30,2.1603476066,-1.6126784219
305,59.5,30.1,1.44,3.847,20,30,2.1602833599,-1.6140604719
130.5,472.6,51.5,1.44,4.017,20,30,2.1618436365,-1.5804964006
130.4,233,95,1.44,2.579,20,30,2.1486455325,-1.8644089566
160.4,248,106.8,1.44,0.727,20,30,2.1316476961,-2.2300598979
136.6,352.4,49.1,1.45,0.771,20,30,2.1468083048,-2.2378560297
220.4,458,108,1.45,0.477,20,30,2.1441099441,-2.2959021295
220.7,127.6,96.3,1.45,7.633,20,30,2.2097884089,-0.8830521638
160,428,36,1.45,2.588,20,30,2.1634849077,-1.8791153383
100.3,458,96.1,1.45,0.709,20,30,2.1462392627,-2.250097044
100.8,82.9,59.8,1.45,10.984,20,30,2.2405442132,-0.221445088
190.4,353,132,1.45,6.238,20,30,2.1969849631,-1.1584749841
117.2,159.6,25.9,1.46,0.306,20,30,2.1572972618,-2.3461469397
130.4,413,107.6,1.46,3.94,20,30,2.1906504677,-1.6286655569
120.4,254.4,128.7,1.46,2.354,20,30,2.1760940053,-1.9417985985
220.1,397.8,12,1.46,7.332,20,30,2.221782574,-0.9589636168
160,98,84,1.46,10.941,20,30,2.2549063274,-0.2464181269
190.3,412.6,48,1.46,11.843,20,30,2.2631849712,-0.0683311133
190.4,203,96,1.46,17.102,20,30,2.3114525853,0.9699833039
189.8,83.3,122,1.46,17.097,20,30,2.3114066948,0.9689961253
70.4,473,84.2,1.46,0.083,20,30,2.1552505461,-2.3901751038
134.8,472.8,40.3,1.47,14.057,20,30,2.2982620511,0.3523082531
220.4,458,132,1.47,0.356,20,30,2.1725129391,-2.3527584572
160.4,203,120,1.47,1.124,20,30,2.1795617179,-2.2011278293
306.6,356.8,12,1.47,9.826,20,30,2.2594295212,-0.4830422506
130.4,383,108,1.47,16.957,20,30,2.3248785335,0.9248718222
130.4,383,84,1.47,12.485,20,30,2.2838340821,0.0419393115
100.5,203.4,120,1.48,2.058,20,30,2.2028908332,-2.0332061761
190.3,412.6,36,1.48,12.642,20,30,2.3000318157,0.0564534154
130.4,293.1,107.8,1.48,1.282,20,30,2.1957686296,-2.1864162898
186.6,473.4,101.4,1.49,5.046,20,30,2.2450717604,-1.4597515674
137.9,174.2,34.7,1.49,0.674,20,30,2.2049451187,-2.3229405068
108.2,113.1,85,1.49,6.873,20,30,2.2618401443,-1.0990365189
283.6,336.8,132,1.49,7.437,20,30,2.2670165913,-0.9876827765
220.9,218.1,108,1.49,7.077,20,30,2.2637124762,-1.0587596334
160.5,428,84,1.49,6.032,20,30,2.2541213645,-1.2650799539
160,428,12,1.49,1.333,20,30,2.2109934849,-2.1928303716
160,428,84,1.49,5.273,20,30,2.2471551886,-1.4149336605
160.4,278,83.1,1.49,0.611,20,30,2.2043668986,-2.3353789567
238.7,175.7,24,1.49,5.396,20,30,2.2482840945,-1.3906490677
130,323,84,1.49,4.186,20,30,2.2371785967,-1.629546281
70.4,503,72,1.49,4.028,20,30,2.2357284573,-1.6607411238
137.5,231.8,121,1.5,1.873,20,30,2.2307064299,-2.1026983895
120.5,231.8,104.1,1.5,2.302,20,30,2.2346438336,-2.0179984684
220.4,428,35.7,1.5,6.541,20,30,2.2735497884,-1.181068479
220.4,278,60,1.5,3.6,20,30,2.246557004,-1.7617269123
100,188,84,1.5,8.581,20,30,2.292273107,-0.7782996235
238.7,175.7,36,1.5,9.609,20,30,2.3017081911,-0.57533571
120,134.1,71.8,1.5,6.49,20,30,2.2730817054,-1.1911377004
160,233,72,1.5,8.909,20,30,2.2952835229,-0.7135407095
129.4,353.3,28.1,1.51,1.125,20,30,2.2385979854,-2.2668636064
275.3,338.3,60,1.51,3.789,20,30,2.2630484368,-1.7408948657
100.2,98.2,119.5,1.51,21.511,20,30,2.4257026783,1.7580608486
190.4,173,108,1.51,4.299,20,30,2.2677292664,-1.6402026518
99.8,431.2,131.5,1.51,0.608,20,30,2.233852909,-2.3689378703
202.6,413,36.5,1.52,5.278,20,30,2.2914713961,-1.4633963915
318.9,52.9,49.5,1.52,8.282,20,30,2.3190424006,-0.8702995082
147,174.2,56.9,1.52,15.999,20,30,2.389869778,0.6533118927
190.4,443.1,12,1.52,2.691,20,30,2.2677276582,-1.9741625823
130.4,353,119.6,1.52,6.789,20,30,2.3053395012,-1.1650710285
294.7,298.1,71.8,1.52,13.786,20,30,2.3695586485,0.2163866588
190.4,263,119.1,1.52,5.164,20,30,2.290425093,-1.4859040629
160.5,398,131,1.52,4.874,20,30,2.2877634448,-1.5431604198
250.4,383,94.9,1.53,3.476,20,30,2.289689237,-1.8356588504
197.5,97.9,119.4,1.53,1.928,20,30,2.2754815423,-2.1412893349
306.6,356.8,48,1.53,2.215,20,30,2.2781156562,-2.0846252851
188.7,468.9,108.3,1.53,11.148,20,30,2.3601036,-0.3209320566
316.9,52.9,37.7,1.53,4.806,20,30,2.3018961065,-1.5730693515
190.4,53,131.4,1.54,6.323,20,30,2.3305760526,-1.2900426773
188.7,468.9,24.3,1.54,2.155,20,30,2.2923217427,-2.1129547311
120.7,473.9,37.1,1.54,17.567,20,30,2.4337745794,0.929924485
280.6,368.2,84.1,1.54,2.65,20,30,2.2968649009,-2.015224053
218.7,78.2,84,1.54,15.671,20,30,2.4163729068,0.5555863722
191,323.3,107.7,1.54,13.932,20,30,2.4004121955,0.2122456665
130.4,203,119.6,1.54,7.489,20,30,2.3412777141,-1.0598326354
128.9,84.9,95.5,1.54,17.149,20,30,2.4299381347,0.8473963568
127.5,472.7,123.6,1.54,1.207,20,30,2.2836209064,-2.3001237875
220.4,398,83.2,1.54,5.515,20,30,2.3231601499,-1.4495707338
151.5,174.2,68,1.55,9.132,20,30,2.3711141004,-0.7519290614
160,428,60,1.55,17.002,20,30,2.4433457267,0.8018900037
100.5,203.4,108,1.55,0.47,20,30,2.291613421,-2.4621172115
100.4,158,120.3,1.55,1.802,20,30,2.3038386467,-2.1991328412
190.4,173,84,1.55,25.378,20,30,2.5202214703,2.4556115398
188.7,468.9,17.8,1.55,10.672,20,30,2.3852483704,-0.4478780626
130.4,472.9,96.2,1.55,6.091,20,30,2.3432035063,-1.3523310661
126.1,472.3,62.7,1.55,7.721,20,30,2.358163805,-1.0305108531
113.1,250.7,119.9,1.55,1.039,20,30,2.2968357584,-2.3497762906
307.6,350.6,60.4,1.56,6.389,20,30,2.3606953517,-1.3099785267
220.4,368,24,1.56,1.583,20,30,2.3165854158,-2.2588545656
190.4,203,60,1.56,12.565,20,30,2.4173792811,-0.0906155602
121,353.2,50.6,1.56,6.144,20,30,2.3584467179,-1.3583502765
220.4,308,132,1.57,9.564,20,30,2.4045925832,-0.6996034396
160,98,48,1.57,2.653,20,30,2.3411627523,-2.0640816554
100.5,203.4,132,1.57,1.675,20,30,2.3321865731,-2.2571737832
160.4,248,82.8,1.57,5.762,20,30,2.369697457,-1.4502540222
273.3,308.7,84,1.58,4.947,20,30,2.37697408,-1.6276474319
251.2,324.1,108,1.58,3.148,20,30,2.3604626828,-1.9828342805
252.2,232.2,132,1.58,21.701,20,30,2.5307439233,1.6801905117
160.4,308,107.3,1.58,11.018,20,30,2.4326943091,-0.4290152154
113.8,290.4,106.7,1.58,7.163,20,30,2.3973127438,-1.1901298908
104,113,83.8,1.58,9.396,20,30,2.4178074352,-0.7492559427
314.6,350.1,50.6,1.59,5.901,20,30,2.4004867573,-1.4557770645
250.4,443,131.2,1.59,0.051,20,30,2.3467948877,-2.6107759883
220.4,428,107.7,1.59,1.018,20,30,2.3556701078,-2.4198556534
220.4,308,72,1.59,8.548,20,30,2.424781181,-0.9331647309
251.2,324.1,72,1.59,1.818,20,30,2.3630125857,-2.2619070826
190.6,143.6,84,1.59,22.934,20,30,2.5568172898,1.9071454432
136.6,442.7,120,1.59,6.047,20,30,2.4018267595,-1.4269514503
67.2,292.8,57.9,1.6,1.715,20,30,2.376824014,-2.2987262643
101.8,472.6,98.3,1.6,2.499,20,30,2.3840196424,-2.1439366649
273.4,368.4,60,1.6,4.313,20,30,2.400668711,-1.7857882807
100.4,338,35.9,1.6,2.339,20,30,2.3825511468,-2.1755263791
251.2,324.1,60,1.6,8.849,20,30,2.4423005607,-0.8902198843
70.2,83.6,120,1.6,7.49,20,30,2.4298275263,-1.158535019
160.4,98,75.5,1.6,9.84,20,30,2.4513960552,-0.6945610923
220.4,248,117,1.61,14.057,20,30,2.5048568641,0.1215420083
160,368,72,1.61,3.756,20,30,2.4103132831,-1.9122432763
250.4,113,120,1.61,2.747,20,30,2.4010525829,-2.1114559112
130.4,472.9,48.2,1.61,13.561,20,30,2.5003045278,0.0236138944
130.4,263,132,1.61,2.635,20,30,2.400024636,-2.1335687111
118.9,472.7,115.2,1.61,3.293,20,30,2.406063824,-2.0036560116
112.5,113.3,73.8,1.62,4.411,20,30,2.4310817093,-1.7994061872
169.4,473.6,84.6,1.62,13.372,20,30,2.5133266398,-0.0301847587
160,233,60,1.62,7.304,20,30,2.4576339449,-1.2282246681
273.4,368.4,36,1.62,3.649,20,30,2.4240879991,-1.9498522008
219.9,188.4,132.8,1.62,5.407,20,30,2.4402230942,-1.6027602165
160.6,187.8,120,1.62,4.454,20,30,2.4314763674,-1.7909164515
100.4,203,84,1.62,8.838,20,30,2.4717131463,-0.9253582836
100.4,158,132.3,1.62,0.734,20,30,2.3973338452,-2.5253773056
148,473.6,6.8,1.63,4.155,20,30,2.4434888887,-1.866433033
262.1,407.8,75.8,1.63,2.55,20,30,2.4287580424,-2.1833173532
160,428,72,1.63,15.361,20,30,2.5463386478,0.3460315722
160.4,248,132,1.63,1.802,20,30,2.4218928256,-2.3309992668
310.6,293.4,24,1.63,16.82,20,30,2.5597294919,0.6340902782
310.7,173.4,60,1.63,6.385,20,30,2.4639560458,-1.426151392
190.4,233,84,1.63,3.235,20,30,2.4350450391,-2.0480738894
130.4,383,72,1.63,1.896,20,30,2.4227555667,-2.3124403098
255.1,413.6,62.9,1.63,7.461,20,30,2.4738316786,-1.2137105643
130.4,413,47.6,1.64,8.392,20,30,2.4971332596,-1.0463812182
297,298.2,77.9,1.64,8.036,20,30,2.4938658569,-1.1166683322
273.4,368.4,72,1.64,4.76,20,30,2.4637984099,-1.7634677296
99.8,397,60.3,1.64,6.603,20,30,2.4807136434,-1.3995937096
70.2,83.6,132,1.64,2.524,20,30,2.4432761842,-2.2049339849
244.3,409.7,18.5,1.65,5.189,20,30,2.4824925861,-1.6952511117
126.4,473.9,42.7,1.65,8.997,20,30,2.5174427809,-0.9434159148
100.4,368,119.9,1.65,7.923,20,30,2.5075855043,-1.155461871
190.3,412.6,60,1.65,9.273,20,30,2.5199759357,-0.8889236578
190.4,443.1,72,1.65,4.615,20,30,2.4772243582,-1.8085792112
191,323.3,59.7,1.65,4.969,20,30,2.4804734047,-1.7386869687
130.4,233,107,1.66,5.098,20,30,2.4964141516,-1.7297010648
130.4,413,119.6,1.66,4.547,20,30,2.4913570199,-1.838488143
340.4,128,71.6,1.67,3.234,20,30,2.4940629504,-2.114204538
160,128,24,1.67,9.741,20,30,2.55378483,-0.8294903504
70.4,293,60,1.67,4.563,20,30,2.5062606418,-1.8518124747
160.4,248,130.8,1.67,1.016,20,30,2.4737059305,-2.5521169504
142.5,174.2,45.8,1.68,0.85,20,30,2.4869391387,-2.6013745821
143.6,473.3,18,1.68,14.314,20,30,2.6105130416,0.0568998642
220.4,368,60,1.68,11.752,20,30,2.5869987562,-0.4489304338
130.4,563,107.8,1.68,14.598,20,30,2.6131196213,0.1129716068
154,116.7,72.6,1.68,7.651,20,30,2.5493593789,-1.2586142947
190.4,53,95.4,1.69,1.027,20,30,2.5033204343,-2.582911764
220.4,428,47.7,1.69,21.008,20,30,2.6867079978,1.362051227
220.4,428,59.7,1.69,11.575,20,30,2.6001310053,-0.5003598582
250.4,383,118.9,1.69,0.256,20,30,2.4962441212,-2.7351346991
190.4,203,108,1.69,5.178,20,30,2.5414187164,-1.7633561174
130.4,488,108,1.69,2.008,20,30,2.5123241478,-2.3892273291
255.1,413.6,50.9,1.69,5.65,20,30,2.5457507784,-1.6701664606
160.4,308,47.3,1.7,3.876,20,30,2.544225606,-2.0369007195
105.9,247,111,1.7,7.171,20,30,2.5744674368,-1.3863500436
105.2,116.7,114.7,1.7,2.254,20,30,2.5293387321,-2.3571414468
130.4,413,35.6,1.7,6.884,20,30,2.5718333229,-1.4430140934
112.7,159.3,37,1.7,5.433,20,30,2.5585159036,-1.7294933136
190.3,412.6,108,1.7,5.914,20,30,2.5629305685,-1.6345267355
160,233,96,1.71,2.201,20,30,2.5436090653,-2.3840888428
220.3,158.2,12.2,1.71,20.154,20,30,2.7083834473,1.1604745213
220.8,187.8,132,1.71,9.315,20,30,2.60890205,-0.9795311771
250.4,113,108,1.71,5.819,20,30,2.5768154216,-1.6697664314
190.4,173,72,1.71,26.504,20,30,2.7666643656,2.4141913019
130.8,290.7,123.7,1.72,2.464,20,30,2.5607796772,-2.3486465534
240.8,410.1,7.1,1.72,3.644,20,30,2.5716098321,-2.1156724115
130.4,68,84,1.73,9.292,20,30,2.6382044984,-1.0170388049
100.4,188,120,1.73,0.355,20,30,2.5561798422,-2.7815217763
250.4,83,131.5,1.73,5.828,20,30,2.6064115691,-1.7009561164
130.4,488,120,1.73,3.656,20,30,2.5864767417,-2.1297864861
121.7,472.1,73.8,1.73,8.766,20,30,2.6333768192,-1.1208899902
135,473.8,51.1,1.74,12.592,20,30,2.6832489921,-0.3819842537
160.4,308,119.3,1.74,4.944,20,30,2.6130549034,-1.8919725903
100.2,97.6,108.1,1.74,25.193,20,30,2.7989021971,2.1059031719
160.4,128,69.1,1.75,10.629,20,30,2.6799891593,-0.7860338624
100.8,82.9,119.8,1.75,6.695,20,30,2.6438825243,-1.5627459593
130.4,113,71.6,1.75,10.7,20,30,2.6806408042,-0.7720159268
220.4,368,48,1.76,7.697,20,30,2.6678357502,-1.3813986776
218.7,78.2,108,1.76,4.484,20,30,2.6383465234,-2.015759625
209.9,413.1,13.6,1.76,8.037,20,30,2.6709563033,-1.314270535
100.2,351.9,113,1.76,3.835,20,30,2.6323899382,-2.143895403
220.4,398,119.2,1.77,2.552,20,30,2.6353712116,-2.4136887266
214.1,465.4,80.9,1.77,32.073,20,30,2.906317824,3.414810971
220.4,428,83.7,1.78,9.795,20,30,2.7166049432,-1.0001451571
100.4,203,120,1.78,2.651,20,30,2.6510366156,-2.4106258942
130.4,143,72.4,1.78,9.03,20,30,2.7095836987,-1.1511834779
212.3,464.4,69.1,1.78,8.621,20,30,2.7058298569,-1.2319346847
100.2,98.2,131,1.78,3.533,20,30,2.6591316975,-2.2364875949
255,408.6,52.9,1.79,3.922,20,30,2.6774587497,-2.1761684055
160.5,458,96,1.79,8.603,20,30,2.7204214235,-1.2519718308
130.4,143,108.4,1.79,25.21,20,30,2.8728420865,2.026843063
130.4,413,131.6,1.8,4.271,20,30,2.695418678,-2.1237466448
122.3,290.5,115.2,1.8,1.412,20,30,2.6691784977,-2.6882153496
220.1,397.8,60,1.8,11.135,20,30,2.7584171384,-0.7685479074
100.4,338,23.9,1.8,2.351,20,30,2.6777967311,-2.5028232146
100.4,218,120,1.8,4.152,20,30,2.6943264845,-2.1472414947
255.1,413.6,74.9,1.8,11.857,20,30,2.7650437247,-0.6259993223
130.4,353,71.6,1.8,6.143,20,30,2.7126000763,-1.7541469891
206.2,413.1,25.1,1.81,28.556,20,30,2.933065545,2.6544963539
84.8,472.5,81.5,1.81,1.996,20,30,2.6892952789,-2.5893961961
130.4,472.9,60.2,1.81,21.094,20,30,2.8645785824,1.1812310599
178,473.5,93,1.82,8.485,20,30,2.7636087251,-1.3247191546
208.4,469.8,32,1.82,13.294,20,30,2.8077461953,-0.3752508085
160,458,36,1.82,10.688,20,30,2.7838280736,-0.8897682778
191.1,83.6,132,1.82,26.09,20,30,2.9251891293,2.1511365812
130.4,203,131.6,1.82,5.108,20,30,2.7326142902,-1.991459559
130.4,488,72,1.82,7.393,20,30,2.7535862427,-1.5403189537
100.4,203,108,1.83,2.157,20,30,2.7202864973,-2.5905756527
306.6,356.8,24,1.83,13.713,20,30,2.8263485905,-0.3090085477
130.4,173.2,59.9,1.83,6.785,20,30,2.7627627319,-1.6768431707
167.2,52.1,134.1,1.84,6.344,20,30,2.7734719633,-1.7803956235
139.2,290.8,132.1,1.84,4.479,20,30,2.7563548117,-2.1486132292
145.6,116.9,64,1.84,6.842,20,30,2.7780426558,-1.6820726382
100.3,253.2,120.3,1.85,5.918,20,30,2.7843188662,-1.8809865407
130.4,293.1,95.8,1.85,6.317,20,30,2.787980927,-1.802209691
110.4,472.6,106.8,1.86,1.857,20,30,2.7618033851,-2.6992562763
160.4,338,120,1.86,4.477,20,30,2.7858500002,-2.181974707
160,128,12,1.86,2.252,20,30,2.7654287336,-2.6212691695
100,158,24,1.86,4.922,20,30,2.7899342536,-2.0941158145
130.5,503,108,1.86,11.034,20,30,2.8460307847,-0.8873887337
130.4,173.2,107.9,1.86,28.606,20,30,3.0073083117,2.5819516235
160.5,398,119,1.86,9.367,20,30,2.8307308964,-1.2165140681
74.8,351.8,87.4,1.87,1.446,20,30,2.7727879595,-2.7968856578
190.4,53,119.4,1.87,13.924,20,30,2.8873122584,-0.333282825
117.3,471.8,85,1.88,3.455,20,30,2.8059835294,-2.4167206126
130.4,113,131.1,1.88,14.55,20,30,2.9078145197,-0.2261713716
190.4,173,132,1.88,1.955,20,30,2.7922163834,-2.7128741828
121.7,273,118.3,1.88,1.103,20,30,2.7843966444,-2.8810894107
143.6,473.8,59.5,1.89,22.542,20,30,2.9959226463,1.3352515474
160.5,428,108,1.89,9.445,20,30,2.875717105,-1.2505639921
160,428,96,1.89,18.184,20,30,2.9559244979,0.474826708
190.4,53,83.9,1.89,4.907,20,30,2.8340668992,-2.1465272598
79.5,112.7,120,1.89,16.767,20,30,2.942919134,0.195060302
70.4,83,96,1.89,26.25,20,30,3.0299550313,2.0673431729
160,128,48,1.9,4.808,20,30,2.8479150399,-2.1825566987
130.4,113,119.1,1.9,27.906,20,30,3.0599107329,2.3778134112
160.4,68,133.6,1.91,19.624,20,30,2.9986545029,0.726167529
198.9,468.5,20.3,1.91,16.509,20,30,2.9700647296,0.1111552815
100.4,188,132,1.91,3.287,20,30,2.8487119261,-2.4993397221
130.4,173.2,95.9,1.91,21.364,20,30,3.0146243923,1.0697056705
83.3,351.8,96,1.91,2.018,20,30,2.8370649206,-2.7498856425
125.2,353.2,39.3,1.91,4.155,20,30,2.8566785147,-2.3279655228
208.6,462.5,45.4,1.92,23.023,20,30,3.0446076282,1.3807682159
91.7,351.9,104.5,1.92,11.426,20,30,2.938169233,-0.9088937533
100.4,368,107.9,1.92,4.587,20,30,2.8754002251,-2.2591565978
160.4,98,87.5,1.92,26.537,20,30,3.0768594623,2.0745573131
160,458,96,1.93,26.202,20,30,3.0885415721,1.9919330459
100.4,338,119.9,1.93,2.535,20,30,2.8713235416,-2.680777985
310.7,173.4,48,1.93,11.975,20,30,2.9579647808,-0.8169848498
130.2,262.5,96.1,1.93,16.303,20,30,2.9976875862,0.0375169181
130.4,68,41.5,1.93,7.112,20,30,2.9133316933,-1.7771147244
130.4,68,48,1.94,7.283,20,30,2.9296579203,-1.7598365206
160,98,72,1.94,10.656,20,30,2.9606156427,-1.0938858591
96.1,372.1,108,1.94,4.668,20,30,2.9056571957,-2.2761309114
130.4,472.9,24.2,1.94,9.5,20,30,2.9500057622,-1.3221215439
255.1,413.6,98.9,1.95,0.951,20,30,2.8862989801,-3.0264827616
190.4,203,120,1.95,17.178,20,30,3.0352319661,0.177306561
130.4,113,83.1,1.95,10.159,20,30,2.9708109007,-1.2084947119
